d_purpose,max_roll,min_roll,top_roll,chamber_purpose
Death Trap,1,1,20,Antechamber or waiting room for spectators
Death Trap,8,2,20,Guardroom fortified against intruders
Death Trap,9,9,20,"Vault for holding important treasures, accessible only by locked or secret door"
Death Trap,11,10,20,"Vault for holding important treasures, accessible only by locked or secret door, trapped"
Death Trap,14,12,20,Room containing a puzzle that must be solved to bypass a trap or monster
Death Trap,19,15,20,Trap designed to kill or capture creatures
Death Trap,20,20,20,"Observation room, allowing guards or spectators to observe creatures moving through the dungeon"
Lair,1,1,20,Armory stocked with weapons and a rmor
Lair,2,2,20,"Audience chamber, used to receive guests"
Lair,3,3,20,Banquet room for important celebrations
Lair,4,4,20,Barracks where the lair's defenders are quartered
Lair,5,5,20,"Bed room, for use by leaders"
Lair,6,6,20,Chapel where the lair's inhabitants worship
Lair,7,7,20,Cistern or well for drinking water
Lair,9,8,20,Guardroom for the defense of the lair
Lair,10,10,20,Kennel for pets or guard beasts
Lair,11,11,20,Kitchen for food storage and preparation
Lair,12,12,20,Pen or prison where captives are held
Lair,14,13,20,"Storage, mostly nonperishable goods "
Lair,15,15,20,Throne room where the lair's leaders hold court
Lair,16,16,20,Torture chamber
Lair,17,17,20,Training and exercise room
Lair,18,18,20,Trophy room or museum
Lair,19,19,20,Latrine or bath
Lair,20,20,20,"Workshop for the constructi on of weapons, armor, tools, and other goods "
Maze,1,1,20,"Conjuring room, used to summon creatures that guard the maze"
Maze,5,2,20,Guard room for sentinels th at patrol the maze
Maze,10,6,20,Lair for guard beasts that patrol the maze
Maze,11,11,20,"Pen or prison accessible only by secret door, used to hold captives condemned to the maze"
Maze,12,12,20,Shrine
Maze,14,13,20,"Storage for food , as well as tools used by the maze's guardians to keep the complex in working order"
Maze,18,15,20,Trap to confound or kill those sent into the maze
Maze,19,19,20,Well that provides drinking water
Maze,20,20,20,"Workshop where doors, torch sconces, and other furnishings are repaired and maintained "
Mine,2,1,100,Barracks for miners
Mine,3,3,100,Bedroom for a supervisor or manager
Mine,4,4,100,"Chapel dedicated to a patron deity of miners, earth , or protection "
Mine,5,5,100,Cistern providing drinking water for miners
Mine,7,6,100,Guardroom
Mine,8,8,100,Kitchen used to feed workers
Mine,9,9,100,Laboratory used to conduct tests on strange minerals extracted from the mine
Mine,14,10,100,Lode where metal ore is mined
Mine,15,15,100,Lode where metal ore is mined (depleted)
Mine,16,16,100,Office used by the mine supervisor
Mine,17,17,100,Smithy for repairing damaged tools
Mine,19,18,100,Storage for tools and other equipment
Mine,20,20,100,Strong room or vault used to store ore for transport to the surface
Planar gate,3,1,100,Decorated foyer or antechamber
Planar gate,8,4,100,Armory used by the portal's guardians
Planar gate,10,9,100,Audience chamber for receiving visitors
Planar gate,19,11,100,Barracks used by the portal's guards
Planar gate,23,20,100,Bedroom for use by the high-ranking members of the order that guards the portal
Planar gate,30,24,100, Chapel dedicated to a deity or deities related to the portal and its defenders
Planar gate,35,31,100,Cistern providing fresh water
Planar gate,38,36,100,Classroom for use of initiates learning about the portal 's secrets
Planar gate,39,39,100,Conjuring room for summoning creatures used to investigate or defend the portal
Planar gate,41,40,100,Crypt where the remains of those that died guarding the portal are kept
Planar gate,47,42,100,Dining room
Planar gate,50,48,100,Divination room used to investigate the portal and events tied to it
Planar gate,55,51,100,Dormitory for visitors and guards
Planar gate,57,56,100,Entry room or vestibule
Planar gate,59,58,100,Gallery for displaying trophies and objects related to the portal and those that guard it
Planar gate,67,60,100,Guardroom to protect or watch over the portal
Planar gate,72,68,100,Kitchen
Planar gate,77,73,100,Laboratory for conducting experiments relating to the portal and creatures that emerge from it
Planar gate,80,78,100,Library holding books about the portal's history
Planar gate,85,81,100,Pen or prison for holding captives or creatures that emerge from the portal
Planar gate,86,86,100,"Planar junction , where the gate to another plane once stood (Deactive)"
Planar gate,88,87,100,"Planar junction , where the gate to another plane once stood (Active)"
Planar gate,90,89,100,Storage
Planar gate,91,91,100,"Strong room or vault, for guarding valuable treasures connected to the portal or funds used to pay the planar gate's guardians"
Planar gate,93,92,100,Study
Planar gate,94,94,100,"Torture chamber, for questioning creatures that pass through the portal or that attempt to clandestinely use it"
Planar gate,98,95,100,Latrine or bath
Planar gate,100,99,100,Workshop for constructing tools and gear needed to study the portal
Stronghold,2,1,100,Antechamber where visitors seeking access to the stronghold wait
Stronghold,5,3,100,"Armory holding high-quality gear, including light siege weapons such as ballistas "
Stronghold,6,6,100,Audience chamber used by the master of the stronghold to receive visitors
Stronghold,7,7,100,Aviary or zoo for keeping exotic creatures
Stronghold,11,8,100,Banquet room for hosting celebrations and guests
Stronghold,15,12,100,Barracks used by elite guards
Stronghold,16,16,100,Bath outfitted with a marble floor and other luxurious accoutrements
Stronghold,17,17,100,Bedroom for use by the stronghold 's master or important guests
Stronghold,18,18,100,Chapel dedicated to a deity associated with the stronghold's master
Stronghold,21,19,100,Cistern providing drinking water
Stronghold,25,22,100,Dining room for intimate gatherings or informal meals
Stronghold,26,26,100,Dressing room featuring a number of wardrobes
Stronghold,29,27,100,Gallery for the display of expensive works of art and trophies
Stronghold,32,30,100,Game room used to entertain visitors
Stronghold,50,33,100,Guardroom
Stronghold,51,51,100,Kennel where monsters or trained animals that protect the stronghold are kept
Stronghold,57,52,100,Kitchen designed to prepare exotic foods for large numbers of guests
Stronghold,61,58,100,Library with an extensive collection of rare books
Stronghold,62,62,100,Lounge used to entertain guests
Stronghold,70,63,100,"Pantry, including cellar for wine or spirits"
Stronghold,74,71,100,Sitting room for family and intimate guests
Stronghold,78,75,100,Stable
